Annual_Rainfall,Monsoon_Intensity,Cloud_Coverage,Humidity,Temperature,River_Discharge,Soil_Moisture,Drainage_Coefficient,Elevation,Deforestation_Rate,Summer_Rainfall,Winter_Rainfall,Pre_Monsoon_Rainfall,Post_Monsoon_Rainfall,Flood
1064.36,8.83,29.59,34.33,19.03,2066.81,64.7,0.957,73.74,13.2,493.49,99.15,98.09,373.63,0
1891.1,6.59,96.94,71.77,17.23,1980.69,51.68,0.764,93.79,6.4,1005.7,131.23,200.53,553.63,1
1560.06,2.11,21.76,57.14,44.77,4058.28,88.92,0.724,383.81,40.97,627.6,192.79,113.63,626.03,0
2250.97,8.63,43.47,59.63,34.67,2067.61,98.96,0.336,111.38,20.59,1181.01,427.29,205.34,437.33,1
733.2,8.86,12.33,54.22,31.26,180.95,11.58,0.932,484.57,17.39,317.25,47.74,61.35,306.86,0
3423.18,1.97,29.96,96.48,37.96,337.41,13.0,0.262,318.06,49.07,1414.3,397.55,395.56,1215.77,1
3458.63,7.37,80.24,37.18,40.2,4288.41,13.03,0.914,346.26,46.34,1383.15,184.54,513.5,1377.44,1
2594.49,2.87,28.11,61.33,39.2,4804.97,68.12,0.381,108.91,48.6,1529.41,429.74,340.73,294.61,1
2108.29,8.03,17.21,78.88,15.5,3457.63,37.27,0.217,446.35,7.11,1120.75,308.2,145.93,533.41,1
1428.58,9.97,52.7,64.55,20.6,1853.62,73.33,0.844,333.91,44.56,437.23,221.37,153.96,616.03,1
2941.39,0.3,10.9,94.32,34.65,4696.07,40.55,0.102,432.2,16.44,1727.25,355.47,166.6,692.06,1
2554.19,8.97,17.63,50.24,26.27,3330.88,62.76,0.849,478.24,0.63,1360.44,475.45,190.78,527.52,1
987.85,6.23,82.69,57.09,44.47,4229.45,76.99,0.336,62.82,19.56,340.56,110.08,66.41,470.8,1
3232.78,9.73,79.43,27.08,34.96,3840.97,54.82,0.896,48.29,25.46,1043.87,410.93,270.11,1507.87,1
2967.61,4.65,92.36,68.72,43.7,1926.74,53.95,0.722,401.7,5.41,1164.66,457.88,349.83,995.24,1
3349.4,8.47,86.91,43.06,21.04,2419.58,8.82,0.7,433.06,26.88,1632.01,429.0,334.74,953.65,1
2677.16,0.62,71.49,32.82,40.92,971.35,41.08,0.429,291.88,40.97,1298.33,209.89,383.61,785.33,0
2340.25,3.35,14.71,63.56,24.64,1495.47,54.58,0.153,183.0,18.88,895.74,228.32,166.8,1049.39,0
1754.73,0.67,80.46,62.58,44.69,3901.72,46.2,0.847,326.31,17.63,761.03,112.03,151.65,730.02,0
3298.19,9.75,86.1,26.07,19.73,4475.19,90.08,0.254,152.83,16.94,1199.11,378.94,273.7,1446.44,1
3098.19,8.17,81.92,75.86,30.49,3636.08,90.65,0.435,119.19,46.15,976.47,438.11,228.02,1455.6,1
635.66,8.53,55.76,69.9,38.79,2352.61,82.19,0.64,244.07,2.44,289.28,43.08,94.91,208.38,1
579.1,9.38,30.96,35.12,27.98,478.22,37.53,0.534,108.08,22.25,234.01,83.73,51.38,209.98,0
1629.39,0.85,86.08,57.55,29.04,331.89,71.73,0.279,241.85,13.23,754.19,299.7,234.72,340.79,0
2931.66,3.86,75.44,77.63,44.59,1902.91,39.53,0.227,478.3,44.69,1711.95,295.1,261.06,663.56,1
3461.83,0.71,98.27,62.35,27.76,2345.92,23.26,0.211,419.89,4.8,1187.45,288.39,243.74,1742.25,1
951.25,2.11,24.01,51.64,33.12,3065.15,34.29,0.877,470.82,20.57,285.94,174.98,58.9,431.43,0
2282.39,2.29,30.31,45.79,16.64,82.12,7.1,0.128,403.16,20.34,737.36,351.01,309.39,884.63,0
1642.67,4.69,29.06,68.83,40.27,4949.13,33.18,0.979,177.38,44.42,720.83,108.1,87.41,726.34,1
3409.74,2.69,81.33,95.13,34.45,1851.5,46.07,0.279,406.02,10.77,1746.06,379.22,499.32,785.14,1
3026.36,1.01,26.82,73.74,27.12,4248.07,95.55,0.199,461.46,32.24,1435.19,457.32,277.88,855.97,1
3014.99,1.67,16.0,25.98,15.49,2698.09,31.34,0.619,473.52,6.72,1352.13,410.51,225.33,1027.01,0
1906.08,1.47,99.87,56.85,32.75,695.68,90.25,0.172,341.6,47.7,774.23,272.15,212.99,646.7,0
1744.46,9.73,12.23,91.27,15.38,3997.95,22.89,0.642,105.68,29.65,685.56,235.62,110.41,712.87,1
1320.22,7.59,85.17,27.56,15.04,3563.64,19.1,0.866,19.86,31.31,545.1,224.05,75.54,475.53,1
669.13,9.68,42.88,99.11,33.48,2660.81,51.9,0.143,73.6,21.69,323.52,65.62,88.85,191.15,1
3094.17,4.4,85.75,95.93,20.67,2597.04,67.25,0.82,482.77,17.11,1083.97,483.52,286.11,1240.57,1
2938.7,2.78,59.92,26.26,20.76,483.02,4.43,0.455,231.05,10.63,1561.65,583.81,299.23,494.01,0
3499.15,7.98,91.15,94.67,34.6,3296.45,22.11,0.244,427.49,30.2,1653.62,379.64,236.79,1229.11,1
3489.91,3.26,93.36,49.05,16.61,4560.66,45.57,0.258,232.52,47.73,1328.77,588.6,195.93,1376.61,1
2166.3,2.99,10.82,87.58,24.4,511.56,33.1,0.927,330.41,17.99,975.58,188.29,187.99,814.44,0
2806.96,2.33,16.79,53.47,19.48,1354.38,71.26,0.2,12.07,44.16,1652.83,259.04,282.42,612.67,1
3334.3,1.3,32.53,55.27,32.41,4516.42,51.12,0.88,124.93,7.44,1020.79,634.28,421.93,1257.3,1
3048.94,2.56,70.24,70.74,34.85,1457.5,16.04,0.59,218.13,46.81,1097.18,164.31,305.21,1482.23,1
1242.04,3.55,89.94,81.96,36.63,3287.02,89.45,0.135,315.32,17.52,539.69,102.61,159.29,440.46,0
1851.63,6.74,51.39,22.7,22.66,2697.35,29.29,0.518,85.76,18.99,910.14,226.71,113.96,600.83,1
887.48,0.63,64.63,67.45,17.68,3001.82,73.11,0.836,382.28,23.14,322.75,97.87,50.05,416.81,0
3362.15,2.11,26.96,34.94,17.36,2108.16,77.99,0.754,182.2,35.91,1948.1,485.41,221.52,707.12,1
2318.52,8.09,82.45,47.68,27.78,1534.96,96.32,0.54,408.72,35.98,1142.5,182.95,294.92,698.15,1
1185.93,1.47,97.06,47.84,43.38,290.24,49.85,0.874,48.98,23.98,667.95,71.85,149.35,296.78,0
2515.1,3.43,34.17,57.52,21.53,3734.19,61.58,0.208,339.88,26.16,1003.01,265.09,161.31,1085.69,1
2354.38,8.65,54.53,46.73,22.7,3743.16,33.49,0.919,146.66,1.5,1291.82,302.9,125.02,634.65,1
1574.49,1.55,17.75,28.59,18.03,3370.09,67.82,0.862,397.69,15.21,651.0,211.45,186.62,525.42,0
840.67,0.83,60.32,31.65,33.17,3235.99,46.34,0.737,201.09,17.3,315.95,117.88,113.93,292.91,0
2514.72,4.85,55.25,22.68,35.4,1256.4,43.77,0.836,332.67,27.94,1442.18,332.7,315.37,424.47,0
2060.92,3.02,23.0,57.62,34.29,160.61,85.55,0.589,467.15,27.91,675.29,179.02,144.84,1061.77,0
2816.96,5.63,49.79,96.36,40.83,4053.14,5.02,0.708,10.31,35.49,1641.91,463.9,305.29,405.85,1
2060.49,8.04,40.07,29.25,29.59,2481.14,88.2,0.605,5.56,35.85,901.58,130.16,259.08,769.68,1
3056.54,1.37,56.96,95.7,19.03,1568.85,85.21,0.42,385.14,11.76,1827.16,243.77,231.02,754.59,1
2155.72,5.81,62.71,78.67,23.68,554.56,50.64,0.612,323.2,38.51,995.68,346.87,221.55,591.62,0
2182.81,5.06,10.76,71.0,34.87,360.47,49.02,0.332,146.49,0.98,1150.88,200.73,177.78,653.42,0
3129.96,1.44,78.49,71.62,33.39,1776.89,36.18,0.496,247.2,35.81,945.63,388.18,227.1,1569.05,1
1710.45,6.24,74.17,86.14,30.93,4033.45,99.42,0.353,20.97,5.1,767.99,169.47,251.37,521.62,1
902.05,2.74,42.97,28.55,35.49,4597.68,11.12,0.211,96.22,36.48,470.18,113.7,127.42,190.75,0
586.35,4.88,14.76,60.38,34.12,4488.92,59.02,0.39,212.25,26.36,313.61,59.81,55.45,157.49,0
2765.41,0.82,77.94,75.77,41.44,4604.0,68.17,0.867,417.02,21.86,960.74,550.68,176.1,1077.89,1
2360.93,4.6,95.97,66.95,32.58,4543.24,93.43,0.443,239.83,34.53,1005.03,244.64,289.9,821.36,1
2612.24,3.06,31.61,86.62,38.36,2659.76,78.02,0.773,293.18,1.82,1112.09,376.31,197.41,926.43,1
1138.89,8.22,39.12,25.78,22.46,1136.11,64.38,0.258,436.88,11.17,377.08,208.7,76.14,476.97,0
909.11,0.57,26.54,75.26,35.35,4000.33,11.68,0.482,154.41,30.82,393.57,132.45,80.14,302.96,0
543.63,4.19,61.92,62.72,42.07,1107.88,37.37,0.203,350.35,42.36,294.72,73.32,55.99,119.6,0
1551.76,4.58,23.94,50.33,26.57,1372.68,13.88,0.225,430.83,19.06,605.27,210.08,92.71,643.7,0
2269.75,7.25,42.06,47.22,38.37,1204.61,88.12,0.656,101.31,12.94,975.48,282.51,243.26,768.5,1
1676.73,5.74,72.73,69.67,36.74,2599.16,74.96,0.647,178.24,25.94,986.4,286.95,86.41,316.97,1
1812.42,6.67,60.41,91.28,16.79,1643.05,75.75,0.292,489.91,31.12,560.97,104.33,252.27,894.86,1
3212.48,7.77,44.78,59.69,32.45,813.07,65.23,0.527,491.61,21.01,1533.82,587.14,456.41,635.11,1
1544.77,8.62,47.82,85.98,18.91,2293.21,50.7,0.877,111.61,43.84,807.96,213.09,190.48,333.23,1
2041.97,3.14,60.59,52.17,44.02,4375.84,15.0,0.257,33.22,26.17,1078.7,362.1,197.37,403.8,1
2850.96,5.38,10.53,28.19,39.34,2874.24,32.97,0.117,135.46,1.79,1467.62,146.99,215.22,1021.13,1
1689.63,8.4,17.07,24.92,18.29,4397.76,13.69,0.687,198.87,11.15,875.12,304.79,210.21,299.51,1
2366.26,9.89,89.31,24.11,18.65,1019.57,72.49,0.148,220.5,22.53,751.77,160.95,338.8,1114.74,1
3087.09,8.9,17.01,50.41,32.83,876.52,16.02,0.982,309.4,34.89,1420.81,488.32,203.3,974.67,1
3348.56,3.71,73.61,46.98,25.35,2899.11,70.21,0.649,449.75,10.99,1791.11,376.64,323.41,857.4,1
941.22,1.95,92.8,77.43,16.05,2343.48,69.23,0.523,165.17,48.81,308.93,143.22,76.73,412.34,0
3279.76,4.89,34.36,79.43,31.25,3317.85,45.93,0.487,424.99,15.93,995.79,473.04,280.99,1529.95,1
1976.35,7.42,43.34,24.07,26.64,3983.4,13.52,0.616,46.74,26.62,1075.86,147.26,179.01,574.22,1
1274.73,4.93,61.2,37.69,18.03,3768.97,31.48,0.182,20.94,0.95,654.82,162.14,185.07,272.72,1
1877.41,4.83,89.35,41.94,39.06,4714.19,32.01,0.937,252.02,44.24,795.39,171.94,142.43,767.65,1
3440.1,8.38,94.77,63.81,42.45,2021.37,70.04,0.663,29.83,39.44,2002.55,461.2,341.49,634.86,1
1977.85,3.61,76.56,31.56,37.7,1071.61,11.37,0.266,196.24,9.77,1048.22,317.84,287.08,324.71,0
1486.25,8.6,17.8,30.72,39.67,2777.02,82.91,0.606,448.39,46.66,877.42,92.43,145.07,371.34,1
2400.2,4.07,70.22,95.5,21.49,598.18,76.1,0.22,120.74,15.79,1389.22,305.7,327.29,377.99,1
1220.44,3.28,46.93,84.34,22.91,1479.81,18.63,0.116,352.99,34.61,542.35,174.09,68.19,435.81,0
727.59,4.54,52.36,34.45,21.26,1079.05,71.92,0.667,151.18,40.95,383.01,68.62,105.72,170.24,0
886.64,7.62,14.42,52.53,37.95,2012.99,66.85,0.684,22.46,37.05,443.99,171.08,60.96,210.61,0
884.14,1.26,27.2,48.45,43.44,600.52,74.81,0.625,278.35,45.88,480.47,113.21,130.85,159.61,0
955.71,1.96,81.15,83.28,36.51,207.62,18.89,0.265,417.43,43.21,512.55,73.95,64.57,304.64,0
916.48,9.51,50.86,60.82,41.44,3301.13,15.76,0.643,204.73,49.73,317.07,60.64,86.55,452.22,1
2422.62,1.75,37.15,30.23,34.16,3070.73,23.65,0.151,308.65,9.13,896.66,317.97,195.9,1012.1,0
1045.64,5.68,44.56,79.12,26.63,3556.38,36.59,0.648,450.01,15.24,397.05,111.14,97.58,439.87,1
1537.0,5.79,86.9,51.75,27.77,3318.91,79.37,0.599,394.85,31.81,838.51,121.24,115.36,461.89,1
3190.37,4.9,77.41,41.03,17.26,615.76,73.79,0.69,96.94,36.65,1733.08,174.21,467.49,815.59,1
1921.88,6.45,34.51,50.04,15.94,1490.84,92.55,0.906,366.69,26.73,862.16,259.44,154.85,645.44,1
2502.67,2.3,20.58,59.82,35.86,691.16,5.86,0.865,250.95,3.7,1186.89,349.85,288.63,677.31,0
1016.96,5.53,32.68,47.45,28.15,4222.71,1.16,0.983,372.98,42.08,557.37,72.48,64.83,322.28,0
1076.87,3.72,92.87,39.35,31.57,3747.17,69.91,0.979,247.26,48.04,424.05,151.04,142.62,359.16,0
622.61,6.62,62.34,51.88,31.73,1047.56,27.93,0.795,63.98,20.28,196.15,120.04,64.91,241.51,0
1006.81,1.41,58.01,21.53,23.32,1739.48,33.41,0.961,284.95,11.24,447.81,198.08,148.95,211.96,0
1335.77,5.71,63.68,81.8,29.28,4834.74,54.68,0.881,246.07,0.97,766.89,244.81,123.35,200.73,1
1031.03,1.85,42.94,33.68,29.12,2991.09,10.24,0.755,258.96,11.86,553.81,176.37,71.7,229.15,0
766.11,2.79,82.64,23.51,26.65,4015.72,64.27,0.168,439.45,35.0,314.09,62.37,64.81,324.84,0
861.91,2.19,57.1,72.3,39.62,1359.73,32.51,0.144,447.42,45.58,275.32,63.32,106.62,416.65,0
1882.34,1.83,20.51,81.91,28.53,1089.76,63.27,0.854,226.77,4.68,924.37,219.75,218.18,520.04,0
1119.0,8.26,21.62,85.11,33.11,3930.39,83.4,0.541,227.87,27.66,615.84,159.96,143.05,200.16,1
1592.81,2.86,58.32,59.48,41.87,3445.07,17.11,0.833,257.59,34.78,795.58,282.89,91.34,423.0,0
2010.25,9.27,94.29,36.43,40.99,3420.84,93.09,0.382,259.79,13.82,859.43,170.46,217.18,763.18,1
2571.18,9.7,37.75,78.98,41.71,2785.54,53.07,0.458,475.19,28.49,866.5,313.55,368.24,1022.89,1
617.94,5.71,88.26,75.98,23.1,2839.71,92.29,0.73,324.7,35.76,354.22,90.91,37.56,135.24,0
2898.23,1.43,78.77,39.7,16.05,3691.7,20.77,0.924,138.73,41.89,1109.41,338.63,172.25,1277.95,1
2383.7,3.75,32.3,92.27,22.83,1386.51,60.46,0.179,265.77,22.62,875.5,281.58,290.0,936.61,1
745.28,7.98,13.27,28.35,23.36,1796.2,40.39,0.875,313.61,37.39,406.02,62.43,60.75,216.07,0
3120.74,3.67,19.17,98.62,42.28,4364.6,77.42,0.814,319.89,15.09,1854.86,617.9,361.56,286.41,1
3262.62,0.87,75.56,88.82,34.48,1578.88,60.59,0.384,292.63,10.65,1624.94,395.69,341.07,900.92,1
683.23,5.57,27.97,75.03,17.45,2754.23,49.45,0.42,88.87,9.37,333.04,88.76,101.53,159.9,0
1330.63,8.45,43.41,95.1,19.06,3528.07,91.3,0.142,16.8,17.94,526.7,110.15,184.83,508.94,1
2918.6,7.96,55.15,77.78,19.67,4999.63,37.71,0.114,168.92,1.79,893.45,371.01,343.83,1310.3,1
2744.78,1.75,75.29,35.24,33.91,2204.69,22.0,0.529,213.76,14.15,981.37,242.37,209.06,1311.98,0
1053.56,6.73,20.19,55.37,37.06,2169.06,60.81,0.186,30.9,32.61,500.79,84.65,80.27,387.85,1
1128.05,2.21,46.57,25.72,40.79,4220.81,62.4,0.275,407.48,32.4,389.62,103.06,155.92,479.45,0
1611.42,2.18,53.66,51.17,43.22,4037.24,43.91,0.862,172.04,3.68,910.69,81.24,174.89,444.59,0
1953.57,8.74,58.67,79.33,21.05,3668.83,48.66,0.614,456.82,14.37,696.34,264.75,251.87,740.61,1
2354.76,2.5,83.65,50.92,24.29,2342.99,95.96,0.67,77.21,28.48,1075.26,254.6,223.67,801.23,1
1606.74,2.63,25.45,46.42,22.21,1653.5,73.27,0.269,28.47,15.93,728.82,296.93,96.9,484.09,0
1887.6,0.01,82.7,67.63,25.76,3063.22,11.06,0.846,241.16,20.9,908.28,105.91,157.18,716.24,0
2742.41,8.71,72.36,89.78,42.44,4387.31,21.21,0.881,94.56,35.64,1092.11,154.89,181.31,1314.1,1
610.05,7.93,60.03,23.81,32.25,4424.7,97.56,0.571,468.7,0.46,342.88,111.57,78.2,77.4,1
1257.31,6.27,72.96,50.84,37.15,587.07,72.65,0.921,5.15,13.82,544.78,86.75,150.94,474.84,0
2640.05,7.5,47.08,32.66,29.7,2170.33,91.5,0.86,206.31,7.12,1346.55,132.86,155.34,1005.3,1
3185.62,1.52,22.46,75.63,15.87,2350.37,30.39,0.758,463.37,6.38,1563.42,244.77,357.23,1020.2,0
2035.03,4.58,69.92,28.46,16.93,4889.2,74.19,0.761,192.21,47.95,682.03,353.24,279.64,720.11,1
2096.34,3.51,57.22,73.18,31.14,3406.09,71.4,0.195,46.55,18.83,1020.48,357.23,251.01,467.62,1
821.52,0.94,67.54,42.89,36.56,2065.87,29.47,0.344,151.45,26.35,382.18,82.99,83.06,273.28,0
1842.24,4.86,40.42,35.91,21.46,178.99,55.08,0.16,249.01,36.69,1049.3,276.71,149.56,366.66,0
2097.85,9.21,91.62,94.91,36.66,2848.66,62.74,0.108,92.58,2.37,1183.74,264.51,290.99,358.61,1
1227.41,0.4,62.86,21.48,39.32,525.58,48.11,0.242,233.28,12.05,423.81,227.94,113.27,462.39,0
1307.73,2.91,17.69,55.02,27.36,4180.53,82.72,0.892,418.17,41.61,424.37,76.45,177.25,629.66,0
1631.85,2.08,50.48,21.73,37.39,3774.97,83.29,0.316,436.31,43.1,633.78,280.64,209.37,508.07,1
560.21,2.38,78.07,58.69,27.12,2329.52,85.06,0.973,24.63,18.65,333.88,42.35,73.74,110.25,0
1466.24,9.08,81.47,60.08,35.35,2174.59,80.34,0.638,80.45,18.74,449.36,159.44,218.44,638.99,1
1134.34,4.68,54.51,45.73,37.92,4491.83,48.81,0.314,137.65,37.84,569.29,89.38,141.65,334.02,0
1482.49,4.66,90.53,30.57,44.76,1477.87,38.14,0.547,297.43,14.75,715.38,230.37,79.17,457.57,0
859.29,7.61,34.09,50.11,25.36,1282.65,83.14,0.297,180.5,5.85,424.46,130.4,60.62,243.81,0
3171.58,1.54,46.95,73.78,27.33,4699.03,49.02,0.986,422.02,12.88,1159.17,419.23,169.74,1423.44,1
2280.78,4.87,90.87,82.59,19.97,4055.77,24.64,0.863,358.34,19.37,839.36,352.89,157.35,931.17,1
2537.31,4.3,90.66,62.46,21.12,4112.1,50.73,0.124,50.23,2.61,1088.99,370.28,142.45,935.58,1
2867.51,5.97,71.71,67.19,35.8,1016.21,14.18,0.953,312.28,23.93,942.72,477.34,287.22,1160.24,1
1995.33,10.0,87.31,36.05,42.51,759.32,69.16,0.749,56.51,37.0,643.26,171.42,105.39,1075.25,1
760.76,7.69,17.99,42.99,26.84,178.85,33.59,0.174,127.52,25.69,248.39,86.98,73.99,351.39,0
2111.32,3.98,87.85,32.95,20.4,1223.36,26.07,0.704,88.94,3.59,996.32,153.59,295.34,666.08,0
2260.52,8.28,38.86,39.94,23.55,3882.24,95.65,0.682,86.53,22.01,947.89,258.69,282.24,771.7,1
2736.32,1.71,26.05,37.99,28.65,1238.19,77.69,0.297,308.2,35.45,1061.92,424.82,395.11,854.46,0
1794.98,0.3,31.54,61.56,23.72,3659.06,78.71,0.783,281.8,2.9,708.56,275.9,130.43,680.08,0
882.74,2.04,47.62,65.02,22.01,1296.95,62.37,0.178,88.01,2.99,319.72,138.07,91.02,333.93,0
1351.33,3.4,32.61,95.6,37.08,2006.7,83.92,0.541,495.09,18.53,572.22,130.15,110.62,538.34,0
1589.25,5.11,38.85,35.65,15.24,4916.65,75.92,0.109,210.92,9.75,573.59,237.33,157.94,620.39,1
2437.75,6.15,22.15,71.33,31.18,1261.82,59.88,0.972,48.53,46.74,1241.82,256.26,257.69,681.98,1
2212.33,9.11,36.66,85.38,38.81,1913.03,96.11,0.776,60.28,29.07,745.95,424.05,118.62,923.71,1
1568.29,5.1,61.51,64.82,22.99,1540.38,19.16,0.243,291.95,14.37,916.62,159.19,115.0,377.48,0
3459.55,5.01,49.77,40.4,33.1,592.64,94.34,0.408,489.53,35.24,1131.08,485.9,416.8,1425.76,1
2317.32,0.5,41.2,41.0,35.07,2474.98,40.14,0.245,285.98,18.75,1351.09,376.62,294.98,294.64,0
1211.68,0.35,77.18,23.14,34.65,1924.52,52.84,0.79,474.52,6.61,666.41,225.33,129.58,190.36,0
805.35,5.51,90.42,44.44,28.38,3489.69,12.27,0.153,222.07,11.86,406.07,93.17,62.08,244.03,0
958.58,4.38,78.11,79.57,25.4,4097.09,54.01,0.856,217.92,32.14,549.93,99.76,86.76,222.13,0
1237.87,8.39,39.88,23.8,40.08,2744.04,61.12,0.948,250.0,2.59,423.06,141.74,73.78,599.29,1
982.04,1.61,77.0,37.54,37.75,209.37,99.77,0.709,348.71,13.63,346.56,96.78,142.71,395.99,0
1059.7,0.25,23.68,76.5,24.64,3113.67,97.52,0.292,183.81,10.42,398.07,156.93,145.04,359.66,0
1355.29,4.49,21.73,82.61,18.09,324.18,96.64,0.424,431.94,10.06,506.12,257.38,76.66,515.13,0
1020.12,2.37,41.11,56.43,17.15,3100.96,34.84,0.53,14.64,34.14,401.17,70.3,67.99,480.67,0
3190.3,0.5,82.69,75.85,17.83,3440.9,99.13,0.644,219.88,41.29,1508.02,427.94,344.9,909.44,1
740.7,7.25,32.17,51.04,32.49,1028.95,45.55,0.702,255.5,35.79,228.47,136.77,54.25,321.21,0
2073.53,1.12,15.69,32.79,16.55,4105.76,85.18,0.599,303.52,32.29,859.86,134.82,297.43,781.43,0
1731.19,6.08,21.85,51.85,25.11,4559.87,21.63,0.416,138.04,45.82,647.32,214.81,217.37,651.7,1
3447.14,2.81,87.29,66.4,37.6,4074.78,50.58,0.902,213.74,2.92,1661.48,619.74,266.56,899.35,1
836.12,1.73,67.04,95.84,23.83,1560.29,96.6,0.173,242.27,8.37,497.95,154.74,42.32,141.11,0
1693.57,3.8,32.79,25.5,37.9,2953.88,94.7,0.52,343.45,20.72,771.07,215.34,220.07,487.08,0
3408.41,8.01,59.98,60.59,37.36,4578.33,68.37,0.798,386.77,18.62,1457.8,183.18,314.97,1452.47,1
3096.52,3.92,57.48,46.31,22.37,1637.29,79.78,0.155,368.91,20.9,1271.04,203.89,353.74,1267.85,1
2951.22,7.51,68.99,60.66,36.86,4109.14,17.64,0.735,170.79,10.32,1580.33,407.29,232.25,731.34,1
1273.71,1.25,30.99,21.92,37.43,96.9,72.17,0.838,499.73,7.48,409.62,87.35,81.88,694.86,0
1012.66,7.73,87.8,45.04,26.92,68.05,61.81,0.695,424.33,25.46,595.38,73.33,119.02,224.94,0
2505.93,2.37,37.84,85.59,21.31,3810.57,9.16,0.112,130.01,46.4,1065.96,415.53,238.14,786.3,1
3288.13,6.77,72.47,64.32,30.64,3819.17,11.32,0.262,97.55,19.6,1295.88,534.66,241.73,1215.85,1
2170.29,5.66,11.45,56.05,42.64,3955.44,10.84,0.408,157.01,2.17,1285.29,382.87,138.38,363.74,1
2214.84,9.29,43.54,42.84,34.19,4653.63,72.44,0.31,226.17,35.31,1286.3,145.87,239.31,543.36,1
1339.94,3.87,41.65,43.84,20.19,633.64,14.17,0.966,425.4,14.56,660.03,106.82,164.22,408.87,0
2808.48,0.66,58.91,50.65,35.48,1198.33,46.77,0.686,389.18,12.25,858.14,491.33,220.15,1238.86,0
1061.13,0.19,16.55,86.85,27.82,4523.44,35.7,0.367,425.62,16.21,556.63,167.83,131.06,205.61,0
1471.04,8.27,81.11,97.38,32.75,927.32,55.05,0.937,135.98,36.19,589.4,251.39,100.49,529.76,1
1776.31,5.25,29.6,55.09,37.02,3427.03,70.65,0.767,296.73,40.94,739.8,352.53,148.93,535.05,1
2022.83,7.75,70.93,51.47,30.45,2675.79,68.47,0.356,141.62,29.4,703.18,363.43,251.82,704.4,1
1227.23,2.34,82.29,87.72,39.42,461.81,51.55,0.441,54.51,16.12,560.89,157.17,142.38,366.79,0
844.51,3.45,60.57,54.15,36.66,1462.06,46.43,0.279,342.1,15.52,441.99,81.59,65.07,255.86,0
2331.86,0.3,76.68,64.16,33.45,2625.84,39.78,0.974,71.5,6.22,890.55,315.85,145.07,980.39,0
1365.89,9.61,69.57,38.48,19.52,4269.13,86.19,0.566,333.85,46.67,794.43,199.13,74.1,298.24,1
2243.71,6.68,42.0,79.48,40.08,3552.32,33.09,0.906,323.98,31.91,804.19,225.04,300.19,914.29,1
963.09,9.33,82.8,62.56,43.08,3128.32,25.94,0.412,405.12,1.35,308.07,159.53,55.39,440.1,1
1943.42,2.65,36.52,84.72,19.11,2505.36,74.33,0.875,69.78,33.12,958.71,124.21,119.49,741.01,1
2097.77,6.11,61.41,82.46,29.65,1528.49,35.98,0.148,391.74,22.36,1163.83,350.14,154.75,429.04,1
655.47,6.78,77.09,37.2,22.77,640.26,84.7,0.984,499.64,48.63,384.07,35.92,61.99,173.5,0
1509.81,3.18,44.11,77.25,37.64,2074.93,32.79,0.921,425.52,40.95,800.43,188.27,194.73,326.38,0
903.24,8.48,37.25,84.0,36.65,191.17,70.19,0.427,375.91,8.57,325.07,161.88,67.52,348.78,0
690.12,9.47,51.34,47.69,19.23,1094.73,4.51,0.797,331.08,36.01,409.45,43.46,72.02,165.2,0
3469.88,8.85,83.62,33.81,41.31,2190.79,38.56,0.777,210.89,24.28,1998.06,442.97,204.85,824.0,1
1467.06,7.39,93.69,20.21,20.43,2122.1,34.32,0.911,365.25,9.35,511.93,108.43,141.5,705.2,1
2929.62,2.77,59.06,56.07,38.92,269.26,81.67,0.377,362.09,34.94,1370.0,539.7,198.52,821.4,0
1263.92,2.82,69.53,48.19,28.71,2965.85,96.71,0.519,315.75,27.37,589.82,221.0,89.89,363.22,1
2544.51,9.63,91.29,64.39,24.85,2770.94,46.09,0.878,398.14,1.52,1101.16,483.68,220.57,739.1,1
2780.68,0.1,18.87,35.04,19.75,436.62,82.48,0.801,224.38,32.33,1655.3,503.99,350.74,270.65,0
2286.92,7.16,30.89,88.77,20.03,4718.66,69.97,0.454,60.63,31.75,726.98,367.01,284.49,908.44,1
1914.73,7.06,73.8,40.62,34.86,541.94,96.74,0.861,279.53,7.2,934.7,148.84,175.19,656.0,1
1735.52,6.23,84.14,38.11,31.51,4281.43,81.11,0.142,132.52,17.45,627.55,165.53,107.37,835.08,1
1546.6,9.9,87.13,58.46,18.66,51.53,7.75,0.804,192.22,29.29,708.65,192.6,120.74,524.61,0
3288.59,3.12,47.36,59.91,18.38,4417.29,71.33,0.286,8.71,6.94,1755.85,454.93,330.62,747.19,1
2991.86,3.4,18.04,37.21,17.17,147.61,53.55,0.358,191.4,42.64,1119.01,500.62,409.71,962.52,0
3395.08,0.79,49.4,41.75,37.31,3801.17,1.64,0.544,404.4,1.37,1419.17,285.34,498.48,1192.09,0
872.89,4.43,30.77,33.58,36.36,1840.37,25.13,0.505,271.36,5.14,510.84,60.44,99.29,202.32,0
2692.6,2.61,36.21,77.48,16.75,3704.17,92.18,0.569,4.9,5.81,1422.89,329.55,229.06,711.1,1
3315.02,3.43,79.5,81.61,31.81,2038.64,92.61,0.59,234.92,26.41,1564.08,244.24,395.63,1111.07,1
1043.7,8.35,16.8,56.99,17.54,400.99,79.89,0.398,145.73,31.01,382.62,160.79,87.28,413.01,0
699.49,9.35,84.48,77.13,42.11,3849.16,98.18,0.258,238.78,20.19,299.1,95.37,78.73,226.3,1
